cc,ASN,AS Name,DNSSEC Validates,Uses Google PDNS,Samples
BF,AS25543,FasoNet-AS,0.3855,0.719,2669
KE,AS25568,KENYAWEB,0,0.0588,68
EG,AS25576,AFMIC,0.7449,0.3747,2023
ZA,AS25605,SCANSAFE - SCANSAFE SERVICES LLC,0.375,0.5859,128
EG,AS2561,EUN,0.2318,0.5148,2597
LS,AS25695,LEO,0.3448,0.5632,87
ZA,AS25818,CMCNETWORKS,0.0859,0.1094,128
TN,AS2609,TN-BB-AS Tunisia BackBone AS,0.1914,0.5123,200366
ZA,AS26106,ALTONET-,0,0,7
NE,AS26130,LIPTINFOR-AS,0.1506,0.1892,259
ZA,AS26422,ABOUTIT-ONLINE,0,0,3
ZA,AS26754,SPIDD-AFRICA,0,0,13
ZA,AS2686,"ATGS-MMD-AS - ATT Global Network Services, LLC",0,0,7
ZA,AS27435,"OPSOURCE-INC - Dimension Data Cloud Solutions, Inc.",0,0,2
BJ,AS28683,BENINTELECOM,0.7912,0.9326,6202
ZA,AS28698,UUNETZM-AS,0.3711,0.8329,353
BW,AS28698,UUNETZM-AS,0.0318,0.2918,377
ZM,AS28698,UUNETZM-AS,0,0,20
UG,AS29032,DATANET-UG DATANET LLC,0.75,0.6908,152
UG,AS29039,AFRICAONLINE-UG Africa Online Uganda,0.4447,0.7452,416
NG,AS29091,IPNXng,0.0696,0.213,13135
EG,AS29256,INT-PDN-STE-AS STE PDN Internal AS,0.0377,0.7872,2575
LY,AS29286,SKYLOGIC-AS,0.0081,0.0114,1231
MA,AS29286,SKYLOGIC-AS,0,0,26
UG,AS29286,SKYLOGIC-AS,0,0,3
NG,AS29286,SKYLOGIC-AS,0.0848,0.1361,507
GH,AS29340,AFOL-,0.426,0.4834,453
NG,AS29465,VCG-AS,0.0116,0.4733,297381
MR,AS29544,MAURITEL,0.11,0.3513,30792
CI,AS29571,ORANGE-COTE-IVOIRE,0.0466,0.1036,63317
ZA,AS29606,BORWOOD-UK-AS Borwood UK Network,0,0,23
GH,AS29614,GHANATEL-AS,0.9363,0.8763,204719
GH,AS29674,GSTA-AS,0.239,0.4472,615
ZA,AS29918,IMPOL-ASN,0.0116,0.4302,86
ZA,AS29975,VODACOM-,0.0034,0.0063,15800
LS,AS3,MIT-GATEWAYS - Massachusetts Institute of Technology,0,0,
MZ,AS30619,TDM-AS,0.0716,0.192,1635
ZA,AS3067,DENINF-IPLAN,0.1552,0.3621,58
ZA,AS30844,LIQUID-AS,0.0286,0.1806,803
KE,AS30844,LIQUID-AS,0.3752,0.5119,4075
BW,AS30844,LIQUID-AS,0,0,46
ZM,AS30844,LIQUID-AS,0.1206,0.293,4369
MU,AS30844,LIQUID-AS,0.199,0.36,4955
ZW,AS30844,LIQUID-AS,0.0711,0.2999,8075
ZA,AS30969,ZOL-AS,0.0333,0.1153,720
ZW,AS30969,ZOL-AS,0.0592,0.1539,29212
TG,AS30982,CAFENET,0.6278,0.7742,3498
MA,AS30983,MARWAN-AS,0.4206,0.6018,1203
NG,AS30984,Metrong-AS,0,0,4
ML,AS30985,IKATELNET,0.013,0.0436,39674
GH,AS30986,SCANCOM,0.0304,0.0136,329943
ER,AS30987,ERITEL-AS,0.4519,0.8444,135
GH,AS30988,ISInternetSolutions,0.3899,0.7782,577
NG,AS30988,ISInternetSolutions,0.0831,0.4307,3334
DJ,AS30990,ADJIB-AS,0.8275,0.6628,16920
CM,AS30992,MTN-NS-CAMEROON,0.0117,0.0284,62637
EG,AS30993,Egypt-Centers,0.2902,0.5576,2509
KE,AS30994,Galileo-Kenya,0.0606,0.899,99
EG,AS30995,CIBEG-AS,0,0.0189,53
NG,AS30998,NAL-AS,0.2977,0.5838,2422
MU,AS30999,EMTEL-AS-AP,0.0139,0.0439,19917
EG,AS31065,MCIT,0.1985,0.6603,262
GA,AS31167,AXIONE-AS,0,0,48
EG,AS31619,CITYSTARS-AS,0.0164,0.0656,244
TZ,AS31810,AOTL-AS,0,0,9
ZW,AS31856,CABS,0.1157,0.2226,1478
MZ,AS31960,EMUNET,0.8087,0.7391,115
MZ,AS32017,SATCOM-MOZ,0.58,0.34,50
DZ,AS3208,ARN,0.3432,0.5079,1591
RE,AS3215,AS3215,0.0404,0.0439,9377
YT,AS3215,AS3215,0.0231,0.0247,1296
MU,AS3223,VOXILITY,0,0,2
ET,AS3223,VOXILITY,0,0,
DZ,AS3223,VOXILITY,0,0,2
AO,AS3223,VOXILITY,0,0,6
SZ,AS32398,REALNET-ASN-1,0.2152,0.7975,79
ZA,AS32437,CYBERTEK-,0,0,39
ZA,AS32653,ENETWORKS,0.1731,0.3251,283
AO,AS32717,ASN-SNETANGOLA,0,0,45
UG,AS327687,RENU,0.2231,0.2465,1708
AO,AS327691,BPA,0,0,18
TZ,AS327692,SMILECOMMS,0.0925,0.0816,2011
ZA,AS327693,ECHO-SP,0.2936,0.6239,218
NA,AS327694,NAMPOWER,0,0,12
GH,AS327695,AITI,0,0,1
RE,AS327697,TELCO-OI-AS,0.9812,0.1164,1280
MZ,AS327700,MoRENet,0.5324,0.8635,293
NG,AS327705,FUTA,0.2949,0.7179,78
TZ,AS327706,Power-and-Network-Backup,0.9668,0.9793,241
RW,AS327707,AIRTEL-,0.9404,0.2164,10211
CD,AS327707,AIRTEL-,0.0517,0.0761,1682
DZ,AS327712,ATM,0.0323,0.3484,748481
TZ,AS327714,ComNet-,0.7176,0.9516,517
ZA,AS327715,XPRESSNET-AS,0.8057,0.5829,211
BW,AS327716,Microteck-AS,0.0854,0.1543,363
UG,AS327717,SureTelecom-UG-AS,0.5997,0.9457,737
BI,AS327720,LACELL-SU,0.013,0.0763,1311
ML,AS327722,COMSATES,0,0,2
NG,AS327723,First-Wave-Networks,0,0,8
UG,AS327724,NITA,0.684,0.455,1310
ZA,AS327726,Newtelco,0.2712,0.1864,59
