cc,ASN,AS Name,DNSSEC Validates,Uses Google PDNS,Samples
NG,AS328240,DANGOTE-AS,0.0606,1,66
ZA,AS328242,IP-Labs-AS,0,0,17
GN,AS328244,Skyvision-Guinee-AS,0.7619,0.7211,147
BF,AS328245,ARCEP-AS,0,0,
AO,AS328248,Contidis-AS,0,0,2
CD,AS328249,Kinshasa-Wireless-AS,0.9186,0.9231,221
SO,AS328250,Golis-Telecom-AS,0.115,0.1892,27755
ZA,AS328251,Force-Telecoms-AS,0.8689,0.5902,61
ML,AS328253,MALI-ATEL,0.9012,1,840
ZA,AS328255,Infraplex-AS,0,0,27
NG,AS328256,Skymax-Integrated-Network-AS,0,0,1
SL,AS328258,Zen-Internet,0.4991,0.7444,579
SN,AS328259,WAW-SAS,0.926,0.1011,554
GH,AS328261,E-CONNECTA-LIMITED,0.1923,0.9038,104
ZA,AS328262,Internet-Uncapped,1,0.9804,51
ZA,AS328266,Atomic-AS,0,0,2
ZA,AS328270,WTTX-Communications-AS,0,0,
KE,AS328271,Syokinet-Solutions-AS,0.7059,0.8595,306
MZ,AS328274,BBID1-AS,0,0,
ZA,AS328275,BWSC1-AS,0.0141,0,71
NG,AS328276,CNL2-AS,0.0952,0.8238,210
ZA,AS328278,WiberSolutions-AS,0.9583,0.9667,120
LR,AS328279,NAS-Inter-Global-AS,0.3,0.46,50
MA,AS328280,LNDR1-AS,0,0,1
TG,AS328282,TEOLIS-SAU,0,0,8
SL,AS328289,Ceedee-Investment-AS,0.3421,0.4123,342
ZA,AS328320,Kurlec-AS,0.95,1,60
CD,AS32842,IBURST,0,0,5
TZ,AS32860,CATS-NET-NETWORK,0.0357,0.3104,364
ZA,AS3300,BT,0,0,38
EG,AS3328,Reserved (ripencc),0.125,0.3295,88
ZA,AS3356,"LEVEL3 - Level 3 Parent, LLC",0,0,2
CD,AS3356,"LEVEL3 - Level 3 Parent, LLC",0,0,7
LS,AS33567,TELECOM-LESOTHO,0.1826,0.9037,3176
ZA,AS33762,WBS,0.2096,0.3853,353
NA,AS33763,Paratus-Telecom,0.1094,0.2002,2687
ZM,AS33763,Paratus-Telecom,0.0541,0.2771,314
AO,AS33763,Paratus-Telecom,0.1254,0.4718,941
TZ,AS33765,TTCLDATA,0.0413,0.5751,16918
ZA,AS33769,ITDYNAMICS,0,0,2
KE,AS33771,SAFARICOM-LIMITED,0.0092,0.0157,119046
TZ,AS33772,BOL-CO-TZ-AS,0.0464,0.6159,690
EG,AS33778,Mantrac-Group-AS,0,0,38
DZ,AS33779,wataniya-telecom-as,0.002,0.0164,581610
GH,AS33780,IGH-Accra,0,0,6
BW,AS33781,OPQ,0.0521,0.1512,787
EG,AS33782,BA-AS,0,0.031,129
EG,AS33785,CITYNET,0.1441,0.0811,333
GH,AS33786,KNet,0.2603,0.6043,657
SD,AS33788,KANARTEL,0.1343,0.2355,6285
RE,AS34306,MOBIUS-AS,0.1481,0.3148,54
ZA,AS3491,"BTN-ASN - PCCW Global, Inc.",0,0,13
ZA,AS35074,COBRANET-AS,0,0,40
NG,AS35074,COBRANET-AS,0.1185,0.2578,7960
GH,AS35091,"TELEDATA-AS Teledata, Ghana",0.075,0.0995,2252
NG,AS36492,"GOOGLEWIFI - Google, LLC",0.9706,0.9853,68
MA,AS36666,GTCOMM - GloboTech Communications,0,0,1
ML,AS36864,AFRIBONEMALI-AS,0.9553,0.0854,1498
MZ,AS36865,MZ-TELEDATA,0.125,0.2784,352
KE,AS36866,JTL,0.4023,0.6574,12062
MU,AS36868,EIS,0.6731,0.5577,52
EG,AS36870,IT-WORX,0,0,2
NG,AS36872,IDN,0.1202,0.847,183
NG,AS36873,VNL1-AS,0.0115,0.3081,178596
ZA,AS36874,Cybersmart,0.205,0.2905,2317
ZA,AS36877,IWAYAFRICA,0,0,17
NA,AS36877,IWAYAFRICA,0.2624,0.4431,343
DZ,AS36879,SLC1-AS,0.2163,0.7229,7448
AO,AS36881,MULTITEL,0.0838,0.2046,1491
MU,AS36882,DCL,0,0,38
MA,AS36884,MAROCCONNECT,0.9695,0.0225,133913
KE,AS36886,Reserved (afrinic),0,0,43
NG,AS36887,DOPC-AS,0,0,31
RW,AS36890,MTNRW-ASN,0.1196,0.0685,34884
DZ,AS36891,ICOSNET-AS,0.4715,0.8277,8661
SS,AS36892,IPTECH,0.0259,0.0712,309
ZA,AS36898,Currant,0,0,3
GH,AS36900,ESSLtd,0,0,21
MA,AS36903,MT-MPLS,0.0371,0.0668,1306354
CM,AS36905,Creolink-ASN,0.1548,0.2016,2093
AO,AS36907,TVCaboAngola,0.0744,0.1213,25509
TZ,AS36908,VTL-ASN,0.0019,0.0047,70095
TZ,AS36909,HABARI-CO-TZ-AS,0.8934,0.2287,835
NG,AS36911,DOPC-AS-US,0.09,0.4795,2044
CM,AS36912,ORANGE,0.0118,0.0228,25525
MW,AS36913,BROADBAND-MALAWI,0,0,10
KE,AS36914,KENET-AS,0.3044,0.3067,4701
KE,AS36915,AFOL-KE-AS,0.6306,0.5667,360
BJ,AS36916,X-DSL-NET1,0,0,2
ZA,AS36916,X-DSL-NET1,0.2052,0.5262,458
AO,AS36917,ACS,0.3793,0.6828,145
NG,AS36920,KKON,0.1089,0.43,3665
NG,AS36922,UBA-AS,0.1317,0.8197,638
NG,AS36923,SWIFTNG-ASN,0.0277,0.985,31176
BJ,AS36924,GVA-Canalbox,0.6757,0.6216,185
TG,AS36924,GVA-Canalbox,0.0526,0.0658,532
GA,AS36924,GVA-Canalbox,0.0277,0.0267,1012
MA,AS36925,ASMedi,0.0227,0.3254,251946
KE,AS36926,CKL1-ASN,0.0083,0.3059,26139
SL,AS36928,SIERRATEL-AS,0.7687,0.8845,10101
TZ,AS36930,Zantel-AS,0.0086,0.0157,10028
RW,AS36934,ARTEL,0.166,0.9754,488
EG,AS36935,Vodafone-,0.0032,0.0234,204008
AO,AS36936,BancoBai,0,0,42
ZA,AS36937,Neotel-AS,0.2886,0.5928,7357
KM,AS36939,ComoresTelecom,0.9202,0.4571,1190
MA,AS36941,MTDS-AS,0.6686,0.6036,169
ZA,AS36943,webafrica,0,0,9
MZ,AS36945,mcelISP,0.0064,0.9514,2960
DZ,AS36947,ALGTEL-AS,0.0765,0.4989,2148065
ZA,AS36951,Derivco,0,0,44
ZA,AS36953,SNOWBALL,0.6192,0.3175,885
CM,AS36955,Matrix-ASN1,0.2918,0.515,233
MA,AS36956,MT-MPLS,0,0,66
ZM,AS36959,afczas,0.1491,0.3519,1509
GH,AS36961,ZIPNET,0.4313,0.2843,313
ZM,AS36962,MTNZ-AS,0.0031,0.0081,23218
BW,AS36963,OBO,0.0059,0.0814,2887
TZ,AS36965,WIA-,0.2178,0.3614,202
ZA,AS36968,ECN-AS1,0.1818,0.2121,66
MW,AS36969,MTL-AS,0.2061,0.2998,1014
NG,AS36970,interswitch,0,0.0227,88
SD,AS36972,MTN,0.0018,0.4112,129583
TN,AS36974,AFNET-AS,0,0.0064,157
CI,AS36974,AFNET-AS,0.0267,0.0977,28063
KE,AS36975,CBA-AS,0,0.975,80
AO,AS36976,SONANGOL,0.0033,0.0049,614
UG,AS36977,Airtel-,0.7506,0.9041,417
EG,AS36978,EFG,0,0,43
NG,AS36979,FBN-AS,0,0,251
ZA,AS36982,UCT,0.9679,0.018,499
ZA,AS36983,OTR-A,0,0,19
ZW,AS36986,AINET,0.1007,0.8774,1142
SL,AS36988,Africell-Lintel,0.1012,0.9833,5388
EG,AS36990,Alkan-AS,0,0,10
UG,AS36991,ORANGE-,0.0397,0.0868,6604
EG,AS36992,ETISALAT-MISR,0.4624,0.2197,324863
NG,AS36993,FCMB,0.0427,0.5877,211
ZA,AS36994,Vodacom-VB,0.1384,0.2546,3641
KE,AS36994,Vodacom-VB,0,0,1
AO,AS36994,Vodacom-VB,0,0,5
NG,AS36994,Vodacom-VB,0,0,32
CI,AS36994,Vodacom-VB,0,0,5
NA,AS36996,TELECOM-NAMIBIA,0.1702,0.1567,23517
MU,AS36997,INFOCOM-,0.1971,0.3037,619
UG,AS36997,INFOCOM-,0.129,0.3631,628
SD,AS36998,SDN-MOBITEL,0.0029,0.0202,242826
NA,AS36999,TELECOM-NAMIBIA,0.0356,0.0539,4549
NG,AS37001,GTB-AS,0.0041,0.9061,245
RE,AS37002,Reunicable,0.0283,0.4342,5366
EG,AS37003,Xceed-as,0,0,70
NG,AS37004,Suburban-Broadband-AS,0.2025,0.7106,1980
NG,AS37005,ACCESSBK-AS,0.0008,0.038,1210
RW,AS37006,LiquidTelecommunicationRwanda,0.0622,0.1964,1125
MU,AS37006,LiquidTelecommunicationRwanda,0.1399,0.2202,1022
ZA,AS37007,LIBERTY-LIFE,0,0,6
BF,AS37008,Alink-Faso,0.449,0.7007,147
NA,AS37009,MTCASN,0.0149,0.0257,20147
RW,AS37010,NUS-AS,0.0543,0.0761,92
AO,AS37011,MSTARTEL-AS,0.4412,0.6941,170
GH,AS37012,ComSysGH-AS,0.1757,0.3933,3659
TZ,AS37013,Satcom-AS,0.0267,0.8085,449
BW,AS37014,Mascom-Wireless-Botswana,0.0217,0.2964,1660
NG,AS37018,GALAXYBB-AS,0.0347,0.2529,6773
CD,AS37020,CELTEL-DRC,0.0311,0.0559,3792
ZW,AS37024,Yoprov,0.0562,0.1798,89
NG,AS37025,BANKPHB,0.093,0.0116,86
NA,AS37026,SALT-ASN,0,0,2
KE,AS37027,SIMBANET-AS,0.3048,0.3394,9753
UG,AS37027,SIMBANET-AS,0.7306,0.5929,2142
ZA,AS37028,FNBCONNECT,0.0169,0.0112,178
GH,AS37030,TIGO-AS,0.013,0.2152,39425
EG,AS37031,MIST-,0.1443,0.3035,201
GH,AS37032,Alinkghana-as,0.1678,0.7383,149
CG,AS37033,ALINK-CONGO,0,0,21
CM,AS37034,RINGO,0.1586,0.3301,309
TZ,AS37035,MIC-AS,0.0031,0.0074,51765
AO,AS37036,BFA,0,0,2
MG,AS37037,ORANGEMG-AS,0.049,0.0826,5022
NE,AS37038,ALINK-NIGER,0,0,
ZA,AS37049,SADV,0.8639,0.1962,316
BW,AS37051,govbw-as0,0.003,0.2801,989
KE,AS37052,UNON-AS,0.0273,0.0318,220
ZA,AS37053,RSAWEB-AS,0.1545,0.2517,576
MG,AS37054,TGN,0.0368,0.0484,30083
ZA,AS37055,EMID,0.2549,0.7843,102
NG,AS37056,ZENITH-BANK,0.0982,0.5,112
LS,AS37057,VODACOM-LESOTHO,0.0116,0.0767,3717
NG,AS37058,SKYE-BANK,0.0081,0.3563,247
KE,AS37061,Safaricom,0.1689,0.2495,29294
AO,AS37062,ASN-BNI,0.9608,1,51
UG,AS37063,RTL-AS,0.0911,0.1516,2909
EG,AS37066,MFA-AS,0,0,72
EG,AS37069,MOBINIL,0.0007,0.001,90342
BF,AS37073,IPP-burkina-as,0.2671,0.8592,277
GH,AS37074,UG-AS,0,0,6
UG,AS37075,ZAINUGAS,0.0071,0.0289,47489
NG,AS37076,EMTS-NIGERIA-AS,0.0074,0.0766,84443
NG,AS37077,AAUN-,0,0.3151,146
AO,AS37081,movicel-as,0.0165,0.7979,4295
TZ,AS37084,simbanet-tz,0.6834,0.4067,1554
TZ,AS37085,OUT-AS,0,0,3
GH,AS37087,STLGHANA,0.1516,0.9714,455
NG,AS37088,VDT-AS,0.1599,0.5845,2308
CM,AS37089,ALINK-CM-AS,0,0,23
BJ,AS37090,ISOCEL,0.9163,0.2018,1972
EG,AS37091,AL-Ahli-BANK,0,0,8
LR,AS37094,CELLCOM,0.9675,0.9999,25774
MW,AS37098,globe-as,0.6389,0.7863,2199
ZA,AS37100,SEACOM-AS,0.3706,0.5194,1854
KE,AS37100,SEACOM-AS,0.3239,0.4873,710
MZ,AS37100,SEACOM-AS,0,0,14
TZ,AS37100,SEACOM-AS,0.0606,0.5152,66
UG,AS37100,SEACOM-AS,0.894,0.9666,689
TZ,AS37101,MARLINK-,0.5584,0.7922,77
CD,AS37102,CIELUX-RDC,0.8927,0.9805,205
GH,AS37103,BUSYINTERNET,0.1099,0.905,3958
NG,AS37104,stanbic-as,0,0,12
ZA,AS37105,NEOLOGY-AS,0.0356,0.1101,3343
NG,AS37106,ODUA-AS,0.2453,0.4403,159
KE,AS37109,MyISP-AS,0.2842,0.5105,190
MZ,AS37110,moztel-as,0.1018,0.176,1375
EG,AS37112,DarCairoAS,0,0,18
UG,AS37113,tangerine-ug-as,0.0683,0.1619,2224
ZA,AS37116,coega-as,0,0,13
AO,AS37119,unitel-AS,0.0226,0.0715,22425
TZ,AS37120,SELCOM-ASN,0,0,9
UG,AS37122,SMILE-,0.3578,0.9841,816
ZW,AS37123,TELCO-,0.1283,0.6646,1598
RW,AS37124,tigo-rw-as,0.1954,0.8612,7030
NG,AS37125,Layer3-,0.0702,0.3511,769
TZ,AS37126,BELL-,0.007,0.0418,287
KE,AS37129,rasmilink-as,0.2745,0.2916,998
ZA,AS37130,SITA-AS,0.6366,0.1762,1186
MW,AS37133,airtel-tz-as,0.063,0.5434,841
TZ,AS37133,airtel-tz-as,0.1092,0.0199,50054
BJ,AS37136,ETISALAT-AS,0.9736,0.3254,13970
KE,AS37137,gateway-ke-as,0,0,6
GH,AS37140,zain-as,0.0473,0.993,44964
GN,AS37141,ETI-AS,0.0611,0.2178,753
TZ,AS37143,arusha-as,0.0921,0.0451,532
NG,AS37144,VALUCARD-,0.0294,0.2206,68
ZM,AS37146,realtime-as,0.3912,0.6103,639
AO,AS37147,bancobic-as,0,0,19
NG,AS37148,globacom-as,0.0115,0.0472,126620
ZA,AS37150,XISASN,0.2186,0.2678,183
ZA,AS37153,HETZNER,0.4125,0.4375,160
ZM,AS37154,ZAMTEL,0.0451,0.2183,13494
AO,AS37155,NETONE,0.0362,0.0563,1795
KE,AS37156,XTRANET,0.1053,0.4158,190
ZA,AS37157,IMAGINE,0.8101,0.962,79
GH,AS37161,IBURST-,0,0,14
GH,AS37162,GCNET-AS,0.0588,0.902,51
BF,AS37163,IPSYSTEM,0.207,0.5161,372
SL,AS37164,ZAIN-,0.9444,0.9882,4066
KE,AS37165,WEBRUNNER,0.9908,0.7523,109
KE,AS37166,KENYA-AIRWAYS,0,0.0422,166
ZA,AS37168,CELL-C,0.131,0.1413,12705
NG,AS37170,UNILAG,0,0,514
ZA,AS37172,MITSOL,0.3025,0.463,162
GQ,AS37173,GETESA,0.5978,0.2962,557
NG,AS37178,ALPHA-BETA-CONSULTI,0,0,14
ZA,AS37179,AFRICAINX,0.154,0.4297,526
ZA,AS37180,SAA,0,0,41
TZ,AS37182,TERNET,0.6996,0.7613,243
ZW,AS37183,UTANDE,0.4043,0.2886,3087
ZW,AS37184,POWERTEL,0.1536,0.7484,4590
ZM,AS37185,ISAT-Africa-Zambia,0.3333,0.819,105
MW,AS37187,SKYBAND,0.5907,0.0376,2421
ZW,AS37189,YoAfrica3,0.1656,0.2724,646
CI,AS37190,ATLANTIQUE-TELECOM-,0.0156,0.0555,13160
EG,AS37191,Raya-Holding,0,0,26
NG,AS37192,ECNX,0.9357,0.1345,171
EG,AS37193,E-FINANCE,0,0,32
NG,AS37194,VOIX-NETWORKS,0.24,0.5938,325
SN,AS37196,SUDATEL-SENEGAL,0.8916,0.9522,6354
SD,AS37197,SUDREN,0.4203,0.3432,1180
ZA,AS37199,VANILLA,0.1359,0.3204,206
NG,AS37200,SIMBANET-NIGERIA,0.0644,0.3834,2097
LR,AS37203,LIBTELCO,0.1883,0.4091,770
ZW,AS37204,TELONE,0.0513,0.1226,39115
NE,AS37205,ATLANTIQUE-TELECOM-NIGER,0.0033,0.0254,4299
UG,AS37206,BOU,0,0.3393,56
NG,AS37207,NNPC,0,0.0117,514
SL,AS37208,AFCOM-,0.3333,0.9102,1002
NG,AS37209,HYPERIA,0.3343,0.707,2082
KE,AS37210,NBK,0,0.5484,62
SD,AS37211,MAX-NET-FOR-INTERNET-SERVICES,0.4768,0.8619,1963
GH,AS37212,ZENITH-BANK-,0,0,25
TZ,AS37213,SPICE-NET-,0.8257,0.4684,459
ZM,AS37214,MICROLINK,0.1675,0.3358,1355
KE,AS37219,ICTA-,0.3066,0.7806,998
NG,AS37222,INTERCONNECT-,0,0,21
MZ,AS37223,VODACOM-,0.0048,0.0291,26742
ZA,AS37225,NETWIDE,0.0385,0.0385,52
EG,AS37226,BELTONE-FINANCIAL,0,0,1
RW,AS37228,Olleh-Rwanda-Networks,0.3579,0.6195,19296
TG,AS37229,ATLANTIQUE-TELECOM-,0.9544,0.9942,4341
NG,AS37230,SWIFTTALK,0.2267,0.614,741
GH,AS37232,CTS,0.2692,0.8154,130
NE,AS37233,ORANGE-NIGER,0.0059,0.0173,8788
ZA,AS37236,Reflex-Solutions,0.1325,0.5181,83
ZA,AS37239,ICTGLOBE,0.1304,0.713,115
KE,AS37244,DTDOBIE,0,0,16
NG,AS37248,PHASE3TEL,0.1375,0.4273,887
NG,AS37249,CWHOUSE,0.0047,0.0427,211
ZA,AS37251,TELKOMMOBILE,0.9736,0.0749,4167
EG,AS37252,GBAUTO,0,0,2
ZA,AS37254,GREENFLASH,0.8399,0.2954,281
ZA,AS37259,Broadband-Wireless,0,0,7
GH,AS37263,UNIVEDU,0.0039,0.0541,259
ZA,AS37266,AMOBIA-ASN,0.3156,0.7911,225
NG,AS37269,ICSL,0.4551,0.8443,1259
EG,AS37270,AT-Financial,0,0,2
ZA,AS37271,Workonline,0,0,34
UG,AS37273,BCS,0.9057,0.9623,53
KE,AS37274,NICBANK,0.0943,0.9245,53
ZA,AS37275,ETC,0,0,7
ZA,AS37276,VOFFICE,0.7914,0.8712,163
TZ,AS37278,BANKM,0,0,3
NG,AS37280,BCL,0.6397,0.6782,1013
CG,AS37281,OFIS,0.8218,0.1737,662
GH,AS37282,MAINONE,0.1799,0.4743,2279
NG,AS37282,MAINONE,0.1424,0.4353,15023
LY,AS37284,Aljeel-net,0.5077,0.4187,76310
NG,AS37286,NG-ICT-FORUM,0,0,25
MW,AS37287,ZAIN-ZAMBIA,0.1364,0.6591,132
CD,AS37287,ZAIN-ZAMBIA,0.0129,0.0839,155
ZM,AS37287,ZAIN-ZAMBIA,0.0425,0.2831,22389
BJ,AS37292,OTI-AS,0.1054,0.1411,560
MW,AS37294,TNM,0.6155,0.6731,4166
NG,AS37296,AFCOMSAT,0,0,22
KE,AS37298,EQUITYBANK,0,0,14
ZA,AS37302,DUBETRADEPORT,0,0,6
MG,AS37303,AIRTELMADA,0.0756,0.7759,1441
GH,AS37304,Tullow,0,0,48
KE,AS37305,FON,0.4354,0.5841,1284
KE,AS37307,AGRA,0,0,12
NG,AS37308,COOLLINK,0.0689,0.3286,2337
GM,AS37309,QCell,0.1665,0.0442,9399
GH,AS37313,GGoC1-AS,0.178,0.9091,1320
ZA,AS37314,Syrex-Pty-Ltd,0.0913,0.1538,208
ZA,AS37315,CipherWave,0.799,0.8177,587
ZA,AS37317,WSINET,0.9035,0.5789,114
AO,AS37318,BESA,0,0,21
GH,AS37320,NLA-AS,0.4314,0.5098,51
CG,AS37322,OFIS-BZ,0.8276,0.2261,261
GM,AS37323,NETPAGE,0.1785,0.9152,3030
GN,AS37325,INTERCEL,0,0,
SO,AS37326,GICO,0.0269,0.0332,2413
NG,AS37328,WEMABANK,0,0.509,167
ZA,AS37333,COMTEL,0.0787,0.5246,305
ZA,AS37334,ARC,0,0,24
BI,AS37336,UCOM-WIC,0.043,0.3559,1582
GQ,AS37337,HITS-EG,0.051,0.1701,8
KE,AS37338,G4S-AS,0,0,40
NG,AS37340,Spectranet,0.0763,0.845,42000
GH,AS37341,GLOMOBILE,0.0179,0.7979,11566
MZ,AS37342,MOVITEL,0.1498,0.3415,17656
KE,AS37346,Davis-Shirtliff,0,0,11
NG,AS37347,NGCOM,0.145,0.9437,1262
EG,AS37348,CAC,0,0,14
TZ,AS37349,Aptus,0.0805,0.1286,1205
GH,AS37350,IS-GHANA,0.3734,0.7984,1141
NG,AS37350,IS-GHANA,0.0794,0.6667,63
ZA,AS37353,MacroLAN,0.3802,0.6172,384
ZA,AS37356,O-Tel,0.5263,0.4586,133
ZA,AS37357,SAINET,0.15,0.49,100
ZA,AS37358,BITCO,0.329,0.5996,1626
TZ,AS37362,TPA,0,0,14
ZA,AS37363,FAIRCAPE,0.9342,0.1184,76
TZ,AS37364,TCRA,0,0,1
AO,AS37366,BNA,0,0,47
ZA,AS37368,BLUEDUST,0,0,2
SO,AS37371,HORMUUD,0.6092,0.7721,139290
GH,AS37373,AUC-ASN,0.5686,0.2059,102
SS,AS37376,ZAIN-South-Sudan,0,0.0049,1225
NG,AS37377,Futurecom,0.4522,0.6943,314
NG,AS37378,NIGERIA-AIRFORCE,0,0,17
CI,AS37381,VIPNET,0.26,0.4276,1146
BW,AS37382,BOTSPOST,0,0,37
NE,AS37385,SONITEL,0.2029,0.3289,2311
ZA,AS37387,Platformity,0,0,13
GA,AS37390,iPi9,0.0527,0.8863,1460
GH,AS37392,SSNIT,0,0,4
BW,AS37395,ABARI,0.5801,0.8636,462
NG,AS37398,junisat,0.4263,0.6753,699
ZA,AS37403,INFOGRO,0.8703,0.8541,185
NG,AS37405,UNIV-NG-NSUKKA,0.0473,0.5522,402
SS,AS37406,RCS,0.6396,0.3604,369
NG,AS37407,LEVANT-,0,0,39
UG,AS37408,NWSC,0,0,38
ZA,AS3741,IS,0.1822,0.3867,11677
LR,AS37410,LONESTAR,0.9541,0.3569,11753
ZA,AS37413,HYMAX,0.4658,0.7078,219
CD,AS37414,Microcom-Sprl,0.2874,0.7816,87
CD,AS37415,AFRINET,0,0,25
ZA,AS37417,SONIC-Wireless,0.1037,0.2056,540
SL,AS37418,Guaranty-,0,0,28
TZ,AS37419,TRA,0.0096,0.6827,104
ZA,AS37422,FIRSTNET,0.2231,0.4231,130
TZ,AS37423,ADN,0.0395,0.0658,76
BJ,AS37424,Spacetel,0.502,0.6376,43328
SO,AS37425,Somcable,0.4155,0.7423,51922
NG,AS37426,Amcon,0,0,15
GN,AS37427,Cellcom,0.0056,0.0243,7027
BI,AS37429,Spidernet,0.1361,0.2515,485
GN,AS37430,vdctelecom,0.2067,0.6072,779
NG,AS37433,KKON-ABUJA,0,0,45
EG,AS37437,CICH,0,0,47
ZA,AS37438,Gijima,0,0,17
ZA,AS37439,Breedenet,0.0438,0.0909,616
MW,AS37440,Airtel-,0.0186,0.5188,6503
ZW,AS37442,ZARNET,0.1429,0.9077,336
NG,AS37443,Usmanu,0.7941,0.1838,136
EG,AS37444,SCCT,0,0,26
NG,AS37445,ETRANZACT,0.1406,0.3594,128
UG,AS37446,TULLOW-,0,0,1
CD,AS37447,OASIS-SPRL,0.0293,0.2714,4782
SL,AS37449,ONLIME-,0.8317,0.8813,1491
CG,AS37451,CongoTelecom,0.1064,0.2164,1382
NG,AS37452,CB-Nigeria,0.0079,0.0646,635
CD,AS37453,VODACOM-CONGO,0.0754,0.2831,5676
TZ,AS37454,BNH,0.9036,1,83
MU,AS37455,BHARAT-TEL,0.0575,0.3793,609
SL,AS37456,ATLAS-COMMS,0,0,5
ZA,AS37457,Telkom-Internet,0.9605,0.0917,51156
CF,AS37460,ORANGE-CA,0.0084,0.0252,833
GN,AS37461,ORANGE-,0.0026,0.0086,31312
CD,AS37463,MTN-CONGO,0.0164,0.6066,61
CG,AS37463,MTN-CONGO,0.317,0.9466,9401
NG,AS37466,RIVERS-STATE,0,0,32
AO,AS37468,ANGOLA-CABLES,0.1034,0.5862,58
NG,AS37472,NIGCOMSAT,0.2207,0.5631,222
DJ,AS37473,TELESOM,0.3247,0.7403,77
SO,AS37473,TELESOM,0.9268,0.7014,37174
CM,AS37475,HTT,0.1085,0.1194,2111
CI,AS37475,HTT,0.7987,0.2685,149
MZ,AS37477,Mozabanco,0,0,5
NG,AS37480,Cobranet,0.0802,0.5722,187
ZA,AS37482,BI,0,0,17
CD,AS37483,Congo-Chine,0.0415,0.5238,987
ZA,AS37484,Lasernet,0.4697,0.8788,66
GQ,AS37487,GUINEANET,0.8652,0.287,230
ZA,AS37488,ACSNET,0,0,5
MZ,AS37489,ABARICOMMOZ,0.4348,0.913,115
NG,AS37490,ASO-SAVINGS,0,0,75
ZA,AS37491,TRINET-ONLine,0,0,20
TN,AS37492,ORANGE-,0.0234,0.0593,186813
BI,AS37492,ORANGE-,0,0,24
GA,AS37493,wifly,0,0,5
TZ,AS37496,Aga-Khan,0,0,14
ZA,AS37497,Network-Platforms,0.2192,0.9041,73
KE,AS37499,UAP,0,0,30
CG,AS37500,Wifly-Congo,0,0,18
ZA,AS37501,UOFS,0.8095,0.0079,126
GM,AS37503,Unique-Solutions,0.0421,0.0601,499
NG,AS37506,Zinox,0.2075,0.5975,241
MR,AS37508,MATTEL,0.0105,0.1362,"6,50"
ZA,AS37511,Enhanced-Internet,0,0,1
GQ,AS37512,IPX-Intl,0.4125,0.8838,783
NA,AS37513,Polytechnic-,0,0,701
KE,AS37514,Tullow-,0,0,8
ZA,AS37515,iCONNECT,0.462,0.5941,909
CV,AS37517,CV-Multimedia,0.0163,0.0532,20982
ZA,AS37519,Xtranet,0.4138,0.5345,58
ZA,AS37520,Rhodes-Univ,0.9884,0,345
NG,AS37521,Internet-Solutions-,0.2769,0.7352,1163
GM,AS37524,AFRICELL-,0.032,0.9994,"14,3"
ZA,AS37525,BYTES-CON-1,0.0485,0.7379,103
BF,AS37526,Telecel-Faso,0.9544,0.9978,2697
ZA,AS37527,JIREH-Technologies,0,0,2
NG,AS37528,AISA,0,0,6
GQ,AS37529,GITGE,0.6909,0.8788,825
NE,AS37531,AIRTEL-NIGER,0.0173,0.4701,9095
ZM,AS37532,ZAMREN,0.0581,0.2355,1291
AO,AS37533,TSOLNET,0.0676,0.4882,340
GH,AS37534,GH-GTBank,0,0,16
BW,AS37537,Bytes-Botswana,0.0357,0.2143,56
NG,AS37540,WINROCK-,0.2528,0.4831,534
MR,AS37541,CHINGUITEL,0.871,0.9811,8406
ZA,AS37542,Iclix-CC,0.6867,0.4317,498
CM,AS37544,SOTEL-TCHAD,0,0,32
BI,AS37545,BBSS,0.7014,0.7725,211
ZA,AS37546,MIA-TELECOMs,0.4979,0.9004,241
RW,AS37547,ISPA-,0.1038,0.2902,703
CG,AS37548,ARPCE,0,0,
ZA,AS37549,Triponza,0.7938,0.1959,97
CG,AS37550,airtelcg,0.0156,0.1264,7065
GM,AS37552,Gamtel,0.5639,0.9781,915
NG,AS37555,FBNC,0,0.1796,206
MZ,AS37556,CILIXSOFT-ASN,0,0,8
LY,AS37558,LITC,0.7332,0.858,3339
GW,AS37559,ORANGE-BISSAU,0.2204,0.2653,245
LR,AS37560,CYBERDYNE,0,0,
EG,AS37562,DrexelEgypt,0,0,11
SO,AS37563,SOMTEL,0.7136,0.8531,60261
ZA,AS37564,wirulink,0.8187,0.7082,706
NG,AS37565,NSE-AS,0,0.4167,108
LY,AS37566,ICONA-AS,0.2659,0.2099,929
NG,AS37567,NIBSS,0,0.6207,87
ZW,AS37568,NUoS-ASN,0.194,0.014,500
ZM,AS37569,RokeZambiaASN,0.0968,0.2581,93
GH,AS37570,FIDELITY-AS,0,0,141
CD,AS37571,ITM-DRC,0,0,27
CV,AS37575,TMAIS,0.8675,0.9753,11762
TZ,AS37576,ZeeASN,0.0347,0.0118,1268
BF,AS37577,Orange-,0.0064,0.0175,14129
KE,AS37579,NMG-AS,0.0068,0.0068,147
LR,AS37580,ELECTROSHACK,0.1183,0.313,262
GA,AS37582,ANINF,0.427,0.5511,274
SS,AS37584,FastNetAS,0,0,38
BI,AS37586,ONATEL,0.5436,0.5638,149
NG,AS37587,UBNAS,0.0077,0.5144,1563
NG,AS37588,Stratus,0.2113,0.6804,194
AO,AS37590,BCA-ASN,0,0,10
NG,AS37591,HBNAS,0.0074,0.8545,811
