cc_dnssec,asn,name,dnssec_validates,uses_google_pdns,samples
TZ,198394,GR1,0,0,1
UG,198394,GR1,0.0098,0.2647,102
AO,198394,GR1,0,0,6
NG,198394,GR1,0,0.0966,145
DZ,198435,EDXNETWORK,0,0,0
ZA,198504,LU1,0,0,34
SS,198504,LU1,0,0,7
NG,198504,LU1,0.0052,0.0623,385
RE,199140,ORE-AS,0.001,0.0086,2102
ZA,2,UDEL-DCN - University of Delaware,0,0,17
ZA,2018,TENET-1,0.1164,0.1186,5723
SN,201935,SKLMED-AS,0,0,0
GA,201935,SKLMED-AS,0,0,42
UG,20294,MTN-,0.0077,0.0234,39075
KE,204043,INTERSAT,0.4739,0.4739,230
SD,204043,INTERSAT,0.9185,1,135
ZA,204170,AWASR,0.9652,0.0736,3711
EG,20484,YallaOnline,0.5922,0.7803,1393
MA,205897,HOSTOWEB,0,0,1
NG,20598,CYBERSPACE-AS Autonomous System number for Cyber Space,0.3615,0.6913,2047
EG,20928,NOOR-AS,0.2965,0.4245,25163
LY,21003,GPTC-AS,0.1844,0.0748,149202
MG,21042,GULFSAT-AS Gulfsat Autonomous System,0.5244,0.0837,4874
RW,21174,"RWANDATEL-AS Autonomous System Number for RWANDATEL, Rwanda",0.5242,0.5565,124
MU,21174,"RWANDATEL-AS Autonomous System Number for RWANDATEL, Rwanda",0.0192,0.4231,52
ML,21271,SOTELMABGP,0.0228,0.046,17841
RE,21351,CANALPLUSTELECOM,0.0277,0.0456,3070
DZ,21391,TDA-AS,0.4428,0.3778,2554
ZA,21433,ACCENTUREFSSC London DC,0,0,2
MU,21433,ACCENTUREFSSC London DC,0,0,18
UG,21491,UGANDA-TELECOM Uganda Telecom,0.1972,0.19,1405
ZA,22351,INTELSAT-1 - INTELSAT GLOBAL SERVICE CORPORATION,0.3824,0.8811,782
CD,22351,INTELSAT-1 - INTELSAT GLOBAL SERVICE CORPORATION,0.24,0.632,125
ZM,22351,INTELSAT-1 - INTELSAT GLOBAL SERVICE CORPORATION,0,0,11
CF,22351,INTELSAT-1 - INTELSAT GLOBAL SERVICE CORPORATION,0.0247,0.0494,81
TZ,22354,UNIV-DAR,0.2323,0.3548,155
ZA,22355,FROGFOOT,0,0,27
EG,22363,"PHMGMT-AS1 - Powerhouse Management, Inc.",0,0,4
DZ,22363,"PHMGMT-AS1 - Powerhouse Management, Inc.",0,0,15
ZA,22386,SARB,0,0,47
ZA,22572,INFOSAT-IP,0,0,6
RW,22690,AxiomNET-AS,0.3186,0.9145,725
ZA,22750,BCSNET,0.3895,0.8,95
ZA,23058,DHN-BGP-AS2002,0.0661,0.0661,121
ZA,23889,MauritiusTelecom,0,0,1
MU,23889,MauritiusTelecom,0.0229,0.0536,105561
TG,24691,"TOGOTEL-AS TogoTelecom, Togo",0.37,0.353,35339
RE,2470,FR-LAREUNION Ile de la Reunion Departement dOutre-Mer,0,0,14
ET,24757,EthioNet-AS,0.1003,0.2876,102998
EG,24835,RAYA-AS,0.0758,0.1125,183678
EG,24863,LINKdotNET-AS,0.0162,0.025,221957
MZ,25139,TVCABO-AS,0.8738,0.1728,7425
NG,25163,NG-NIGERIA-AS,0.266,0.2462,2417
GM,25250,GAMTEL-AS,0.8877,0.6021,8930
EG,25364,EgyptCyberCenter-AS,0,0,11
BI,25429,"CBI-AS CBINET, Bujumbura, Burundi.",0.1474,0.5474,380
BF,25543,FasoNet-AS,0.3855,0.719,2669
KE,25568,KENYAWEB,0,0.0588,68
EG,25576,AFMIC,0.7449,0.3747,2023
ZA,25605,SCANSAFE - SCANSAFE SERVICES LLC,0.375,0.5859,128
EG,2561,EUN,0.2318,0.5148,2597
LS,25695,LEO,0.3448,0.5632,87
ZA,25818,CMCNETWORKS,0.0859,0.1094,128
TN,2609,TN-BB-AS Tunisia BackBone AS,0.1914,0.5123,200366
ZA,26106,ALTONET-,0,0,7
NE,26130,LIPTINFOR-AS,0.1506,0.1892,259
ZA,26422,ABOUTIT-ONLINE,0,0,3
ZA,26754,SPIDD-AFRICA,0,0,13
ZA,2686,"ATGS-MMD-AS - ATT Global Network Services, LLC",0,0,7
ZA,27435,"OPSOURCE-INC - Dimension Data Cloud Solutions, Inc.",0,0,2
BJ,28683,BENINTELECOM,0.7912,0.9326,6202
ZA,28698,UUNETZM-AS,0.3711,0.8329,353
BW,28698,UUNETZM-AS,0.0318,0.2918,377
ZM,28698,UUNETZM-AS,0,0,20
UG,29032,DATANET-UG DATANET LLC,0.75,0.6908,152
UG,29039,AFRICAONLINE-UG Africa Online Uganda,0.4447,0.7452,416
NG,29091,IPNXng,0.0696,0.213,13135
EG,29256,INT-PDN-STE-AS STE PDN Internal AS,0.0377,0.7872,2575
LY,29286,SKYLOGIC-AS,0.0081,0.0114,1231
MA,29286,SKYLOGIC-AS,0,0,26
UG,29286,SKYLOGIC-AS,0,0,3
NG,29286,SKYLOGIC-AS,0.0848,0.1361,507
GH,29340,AFOL-,0.426,0.4834,453
NG,29465,VCG-AS,0.0116,0.4733,297381
MR,29544,MAURITEL,0.11,0.3513,30792
CI,29571,ORANGE-COTE-IVOIRE,0.0466,0.1036,63317
