cc_dnssec,asn,name,dnssec_validates,uses_google_pdns,samples
ZA,3356,"LEVEL3 - Level 3 Parent, LLC",0,0,2
CD,3356,"LEVEL3 - Level 3 Parent, LLC",0,0,7
LS,33567,TELECOM-LESOTHO,0.1826,0.9037,3176
ZA,33762,WBS,0.2096,0.3853,353
NA,33763,Paratus-Telecom,0.1094,0.2002,2687
ZM,33763,Paratus-Telecom,0.0541,0.2771,314
AO,33763,Paratus-Telecom,0.1254,0.4718,941
TZ,33765,TTCLDATA,0.0413,0.5751,16918
ZA,33769,ITDYNAMICS,0,0,2
KE,33771,SAFARICOM-LIMITED,0.0092,0.0157,119046
TZ,33772,BOL-CO-TZ-AS,0.0464,0.6159,690
EG,33778,Mantrac-Group-AS,0,0,38
DZ,33779,wataniya-telecom-as,0.002,0.0164,581610
GH,33780,IGH-Accra,0,0,6
BW,33781,OPQ,0.0521,0.1512,787
EG,33782,BA-AS,0,0.031,129
EG,33785,CITYNET,0.1441,0.0811,333
GH,33786,KNet,0.2603,0.6043,657
SD,33788,KANARTEL,0.1343,0.2355,6285
RE,34306,MOBIUS-AS,0.1481,0.3148,54
ZA,3491,"BTN-ASN - PCCW Global, Inc.",0,0,13
ZA,35074,COBRANET-AS,0,0,40
NG,35074,COBRANET-AS,0.1185,0.2578,7960
GH,35091,"TELEDATA-AS Teledata, Ghana",0.075,0.0995,2252
NG,36492,"GOOGLEWIFI - Google, LLC",0.9706,0.9853,68
MA,36666,GTCOMM - GloboTech Communications,0,0,1
ML,36864,AFRIBONEMALI-AS,0.9553,0.0854,1498
MZ,36865,MZ-TELEDATA,0.125,0.2784,352
KE,36866,JTL,0.4023,0.6574,12062
MU,36868,EIS,0.6731,0.5577,52
EG,36870,IT-WORX,0,0,2
NG,36872,IDN,0.1202,0.847,183
NG,36873,VNL1-AS,0.0115,0.3081,178596
ZA,36874,Cybersmart,0.205,0.2905,2317
ZA,36877,IWAYAFRICA,0,0,17
NA,36877,IWAYAFRICA,0.2624,0.4431,343
DZ,36879,SLC1-AS,0.2163,0.7229,7448
AO,36881,MULTITEL,0.0838,0.2046,1491
MU,36882,DCL,0,0,38
MA,36884,MAROCCONNECT,0.9695,0.0225,133913
KE,36886,Reserved (afrinic),0,0,43
NG,36887,DOPC-AS,0,0,31
RW,36890,MTNRW-ASN,0.1196,0.0685,34884
DZ,36891,ICOSNET-AS,0.4715,0.8277,8661
SS,36892,IPTECH,0.0259,0.0712,309
ZA,36898,Currant,0,0,3
GH,36900,ESSLtd,0,0,21
MA,36903,MT-MPLS,0.0371,0.0668,1306354
CM,36905,Creolink-ASN,0.1548,0.2016,2093
AO,36907,TVCaboAngola,0.0744,0.1213,25509
TZ,36908,VTL-ASN,0.0019,0.0047,70095
TZ,36909,HABARI-CO-TZ-AS,0.8934,0.2287,835
NG,36911,DOPC-AS-US,0.09,0.4795,2044
CM,36912,ORANGE,0.0118,0.0228,25525
MW,36913,BROADBAND-MALAWI,0,0,10
KE,36914,KENET-AS,0.3044,0.3067,4701
KE,36915,AFOL-KE-AS,0.6306,0.5667,360
BJ,36916,X-DSL-NET1,0,0,2
ZA,36916,X-DSL-NET1,0.2052,0.5262,458
AO,36917,ACS,0.3793,0.6828,145
NG,36920,KKON,0.1089,0.43,3665
NG,36922,UBA-AS,0.1317,0.8197,638
NG,36923,SWIFTNG-ASN,0.0277,0.985,31176
BJ,36924,GVA-Canalbox,0.6757,0.6216,185
TG,36924,GVA-Canalbox,0.0526,0.0658,532
GA,36924,GVA-Canalbox,0.0277,0.0267,1012
MA,36925,Medi,0.0227,0.3254,251946
KE,36926,CKL1-ASN,0.0083,0.3059,26139
SL,36928,SIERRATEL-AS,0.7687,0.8845,10101
TZ,36930,Zantel-AS,0.0086,0.0157,10028
RW,36934,ARTEL,0.166,0.9754,488
EG,36935,Vodafone-,0.0032,0.0234,204008
AO,36936,BancoBai,0,0,42
ZA,36937,Neotel-AS,0.2886,0.5928,7357
KM,36939,ComoresTelecom,0.9202,0.4571,1190
MA,36941,MTDS-AS,0.6686,0.6036,169
ZA,36943,webafrica,0,0,9
MZ,36945,mcelISP,0.0064,0.9514,2960
DZ,36947,ALGTEL-AS,0.0765,0.4989,2148065
ZA,36951,Derivco,0,0,44
ZA,36953,SNOWBALL,0.6192,0.3175,885
CM,36955,Matrix-ASN1,0.2918,0.515,233
MA,36956,MT-MPLS,0,0,66
ZM,36959,afczas,0.1491,0.3519,1509
GH,36961,ZIPNET,0.4313,0.2843,313
ZM,36962,MTNZ-AS,0.0031,0.0081,23218
BW,36963,OBO,0.0059,0.0814,2887
TZ,36965,WIA-,0.2178,0.3614,202
ZA,36968,ECN-AS1,0.1818,0.2121,66
MW,36969,MTL-AS,0.2061,0.2998,1014
NG,36970,interswitch,0,0.0227,88
SD,36972,MTN,0.0018,0.4112,129583
TN,36974,AFNET-AS,0,0.0064,157
CI,36974,AFNET-AS,0.0267,0.0977,28063
KE,36975,CBA-AS,0,0.975,80
AO,36976,SONANGOL,0.0033,0.0049,614
UG,36977,Airtel-,0.7506,0.9041,417
EG,36978,EFG,0,0,43
NG,36979,FBN-AS,0,0,251
ZA,36982,UCT,0.9679,0.018,499
ZA,36983,OTR-A,0,0,19
ZW,36986,AINET,0.1007,0.8774,1142
SL,36988,Africell-Lintel,0.1012,0.9833,5388
EG,36990,Alkan-AS,0,0,10
UG,36991,ORANGE-,0.0397,0.0868,6604
EG,36992,ETISALAT-MISR,0.4624,0.2197,324863
NG,36993,FCMB,0.0427,0.5877,211
ZA,36994,Vodacom-VB,0.1384,0.2546,3641
KE,36994,Vodacom-VB,0,0,1
AO,36994,Vodacom-VB,0,0,5
NG,36994,Vodacom-VB,0,0,32
CI,36994,Vodacom-VB,0,0,5
NA,36996,TELECOM-NAMIBIA,0.1702,0.1567,23517
MU,36997,INFOCOM-,0.1971,0.3037,619
UG,36997,INFOCOM-,0.129,0.3631,628
SD,36998,SDN-MOBITEL,0.0029,0.0202,242826
NA,36999,TELECOM-NAMIBIA,0.0356,0.0539,4549
NG,37001,GTB-AS,0.0041,0.9061,245
RE,37002,Reunicable,0.0283,0.4342,5366
EG,37003,Xceed-as,0,0,70
NG,37004,Suburban-Broadband-AS,0.2025,0.7106,1980
NG,37005,ACCESSBK-AS,0.0008,0.038,1210
RW,37006,LiquidTelecommunicationRwanda,0.0622,0.1964,1125
MU,37006,LiquidTelecommunicationRwanda,0.1399,0.2202,1022
ZA,37007,LIBERTY-LIFE,0,0,6
BF,37008,Alink-Faso,0.449,0.7007,147
NA,37009,MTCASN,0.0149,0.0257,20147
RW,37010,NUS-AS,0.0543,0.0761,92
AO,37011,MSTARTEL-AS,0.4412,0.6941,170
GH,37012,ComSysGH-AS,0.1757,0.3933,3659
TZ,37013,Satcom-AS,0.0267,0.8085,449
BW,37014,Mascom-Wireless-Botswana,0.0217,0.2964,1660
NG,37018,GALAXYBB-AS,0.0347,0.2529,6773
CD,37020,CELTEL-DRC,0.0311,0.0559,3792
ZW,37024,Yoprov,0.0562,0.1798,89
NG,37025,BANKPHB,0.093,0.0116,86
NA,37026,SALT-ASN,0,0,2
KE,37027,SIMBANET-AS,0.3048,0.3394,9753
UG,37027,SIMBANET-AS,0.7306,0.5929,2142
ZA,37028,FNBCONNECT,0.0169,0.0112,178
GH,37030,TIGO-AS,0.013,0.2152,39425
EG,37031,MIST-,0.1443,0.3035,201
GH,37032,Alinkghana-as,0.1678,0.7383,149
CG,37033,ALINK-CONGO,0,0,21
CM,37034,RINGO,0.1586,0.3301,309
TZ,37035,MIC-AS,0.0031,0.0074,51765
AO,37036,BFA,0,0,2
MG,37037,ORANGEMG-AS,0.049,0.0826,5022
NE,37038,ALINK-NIGER,0,0,0
ZA,37049,SADV,0.8639,0.1962,316
BW,37051,govbw-as0,0.003,0.2801,989
KE,37052,UNON-AS,0.0273,0.0318,220
ZA,37053,RSAWEB-AS,0.1545,0.2517,576
MG,37054,TGN,0.0368,0.0484,30083
ZA,37055,EMID,0.2549,0.7843,102
NG,37056,ZENITH-BANK,0.0982,0.5,112
LS,37057,VODACOM-LESOTHO,0.0116,0.0767,3717
NG,37058,SKYE-BANK,0.0081,0.3563,247
KE,37061,Safaricom,0.1689,0.2495,29294
AO,37062,N-BNI,0.9608,1,51
UG,37063,RTL-AS,0.0911,0.1516,2909
EG,37066,MFA-AS,0,0,72
EG,37069,MOBINIL,0.0007,0.001,90342
BF,37073,IPP-burkina-as,0.2671,0.8592,277
GH,37074,UG-AS,0,0,6
UG,37075,ZAINUGAS,0.0071,0.0289,47489
NG,37076,EMTS-NIGERIA-AS,0.0074,0.0766,84443
NG,37077,AAUN-,0,0.3151,146
AO,37081,movicel-as,0.0165,0.7979,4295
TZ,37084,simbanet-tz,0.6834,0.4067,1554
TZ,37085,OUT-AS,0,0,3
GH,37087,STLGHANA,0.1516,0.9714,455
NG,37088,VDT-AS,0.1599,0.5845,2308
CM,37089,ALINK-CM-AS,0,0,23
BJ,37090,ISOCEL,0.9163,0.2018,1972
EG,37091,AL-Ahli-BANK,0,0,8
LR,37094,CELLCOM,0.9675,0.9999,25774
MW,37098,globe-as,0.6389,0.7863,2199
ZA,37100,SEACOM-AS,0.3706,0.5194,1854
KE,37100,SEACOM-AS,0.3239,0.4873,710
MZ,37100,SEACOM-AS,0,0,14
TZ,37100,SEACOM-AS,0.0606,0.5152,66
UG,37100,SEACOM-AS,0.894,0.9666,689
TZ,37101,MARLINK-,0.5584,0.7922,77
CD,37102,CIELUX-RDC,0.8927,0.9805,205
GH,37103,BUSYINTERNET,0.1099,0.905,3958
NG,37104,stanbic-as,0,0,12
ZA,37105,NEOLOGY-AS,0.0356,0.1101,3343
NG,37106,ODUA-AS,0.2453,0.4403,159
KE,37109,MyISP-AS,0.2842,0.5105,190
MZ,37110,moztel-as,0.1018,0.176,1375
EG,37112,DarCairoAS,0,0,18
UG,37113,tangerine-ug-as,0.0683,0.1619,2224
ZA,37116,coega-as,0,0,13
AO,37119,unitel-AS,0.0226,0.0715,22425
TZ,37120,SELCOM-ASN,0,0,9
UG,37122,SMILE-,0.3578,0.9841,816
ZW,37123,TELCO-,0.1283,0.6646,1598
RW,37124,tigo-rw-as,0.1954,0.8612,7030
NG,37125,Layer3-,0.0702,0.3511,769
TZ,37126,BELL-,0.007,0.0418,287
KE,37129,rasmilink-as,0.2745,0.2916,998
ZA,37130,SITA-AS,0.6366,0.1762,1186
MW,37133,airtel-tz-as,0.063,0.5434,841
TZ,37133,airtel-tz-as,0.1092,0.0199,50054
BJ,37136,ETISALAT-AS,0.9736,0.3254,13970
KE,37137,gateway-ke-as,0,0,6
GH,37140,zain-as,0.0473,0.993,44964
GN,37141,ETI-AS,0.0611,0.2178,753
TZ,37143,arusha-as,0.0921,0.0451,532
NG,37144,VALUCARD-,0.0294,0.2206,68
ZM,37146,realtime-as,0.3912,0.6103,639
AO,37147,bancobic-as,0,0,19
NG,37148,globacom-as,0.0115,0.0472,126620
ZA,37150,XISASN,0.2186,0.2678,183
ZA,37153,HETZNER,0.4125,0.4375,160
ZM,37154,ZAMTEL,0.0451,0.2183,13494
AO,37155,NETONE,0.0362,0.0563,1795
KE,37156,XTRANET,0.1053,0.4158,190
ZA,37157,IMAGINE,0.8101,0.962,79
GH,37161,IBURST-,0,0,14
GH,37162,GCNET-AS,0.0588,0.902,51
BF,37163,IPSYSTEM,0.207,0.5161,372
SL,37164,ZAIN-,0.9444,0.9882,4066
KE,37165,WEBRUNNER,0.9908,0.7523,109
KE,37166,KENYA-AIRWAYS,0,0.0422,166
ZA,37168,CELL-C,0.131,0.1413,12705
NG,37170,UNILAG,0,0,514
ZA,37172,MITSOL,0.3025,0.463,162
GQ,37173,GETESA,0.5978,0.2962,557
NG,37178,ALPHA-BETA-CONSULTI,0,0,14
ZA,37179,AFRICAINX,0.154,0.4297,526
ZA,37180,SAA,0,0,41
TZ,37182,TERNET,0.6996,0.7613,243
ZW,37183,UTANDE,0.4043,0.2886,3087
ZW,37184,POWERTEL,0.1536,0.7484,4590
ZM,37185,ISAT-Africa-Zambia,0.3333,0.819,105
MW,37187,SKYBAND,0.5907,0.0376,2421
ZW,37189,YoAfrica3,0.1656,0.2724,646
CI,37190,ATLANTIQUE-TELECOM-,0.0156,0.0555,13160
EG,37191,Raya-Holding,0,0,26
NG,37192,ECNX,0.9357,0.1345,171
EG,37193,E-FINANCE,0,0,32
NG,37194,VOIX-NETWORKS,0.24,0.5938,325
SN,37196,SUDATEL-SENEGAL,0.8916,0.9522,6354
SD,37197,SUDREN,0.4203,0.3432,1180
ZA,37199,VANILLA,0.1359,0.3204,206
NG,37200,SIMBANET-NIGERIA,0.0644,0.3834,2097
LR,37203,LIBTELCO,0.1883,0.4091,770
ZW,37204,TELONE,0.0513,0.1226,39115
NE,37205,ATLANTIQUE-TELECOM-NIGER,0.0033,0.0254,4299
UG,37206,BOU,0,0.3393,56
NG,37207,NNPC,0,0.0117,514
SL,37208,AFCOM-,0.3333,0.9102,1002
NG,37209,HYPERIA,0.3343,0.707,2082
KE,37210,NBK,0,0.5484,62
SD,37211,MAX-NET-FOR-INTERNET-SERVICES,0.4768,0.8619,1963
GH,37212,ZENITH-BANK-,0,0,25
TZ,37213,SPICE-NET-,0.8257,0.4684,459
ZM,37214,MICROLINK,0.1675,0.3358,1355
KE,37219,ICTA-,0.3066,0.7806,998
NG,37222,INTERCONNECT-,0,0,21
MZ,37223,VODACOM-,0.0048,0.0291,26742
ZA,37225,NETWIDE,0.0385,0.0385,52
EG,37226,BELTONE-FINANCIAL,0,0,1
RW,37228,Olleh-Rwanda-Networks,0.3579,0.6195,19296
TG,37229,ATLANTIQUE-TELECOM-,0.9544,0.9942,4341
NG,37230,SWIFTTALK,0.2267,0.614,741
GH,37232,CTS,0.2692,0.8154,130
NE,37233,ORANGE-NIGER,0.0059,0.0173,8788
ZA,37236,Reflex-Solutions,0.1325,0.5181,83
ZA,37239,ICTGLOBE,0.1304,0.713,115
KE,37244,DTDOBIE,0,0,16
NG,37248,PHASE3TEL,0.1375,0.4273,887
NG,37249,CWHOUSE,0.0047,0.0427,211
ZA,37251,TELKOMMOBILE,0.9736,0.0749,4167
EG,37252,GBAUTO,0,0,2
ZA,37254,GREENFLASH,0.8399,0.2954,281
ZA,37259,Broadband-Wireless,0,0,7
GH,37263,UNIVEDU,0.0039,0.0541,259
ZA,37266,AMOBIA-ASN,0.3156,0.7911,225
NG,37269,ICSL,0.4551,0.8443,1259
EG,37270,AT-Financial,0,0,2
ZA,37271,Workonline,0,0,34
UG,37273,BCS,0.9057,0.9623,53
KE,37274,NICBANK,0.0943,0.9245,53
ZA,37275,ETC,0,0,7
ZA,37276,VOFFICE,0.7914,0.8712,163
TZ,37278,BANKM,0,0,3
NG,37280,BCL,0.6397,0.6782,1013
CG,37281,OFIS,0.8218,0.1737,662
GH,37282,MAINONE,0.1799,0.4743,2279
NG,37282,MAINONE,0.1424,0.4353,15023
LY,37284,Aljeel-net,0.5077,0.4187,76310
NG,37286,NG-ICT-FORUM,0,0,25
MW,37287,ZAIN-ZAMBIA,0.1364,0.6591,132
CD,37287,ZAIN-ZAMBIA,0.0129,0.0839,155
ZM,37287,ZAIN-ZAMBIA,0.0425,0.2831,22389
BJ,37292,OTI-AS,0.1054,0.1411,560
MW,37294,TNM,0.6155,0.6731,4166
NG,37296,AFCOMSAT,0,0,22
KE,37298,EQUITYBANK,0,0,14
ZA,37302,DUBETRADEPORT,0,0,6
MG,37303,AIRTELMADA,0.0756,0.7759,1441
GH,37304,Tullow,0,0,48
KE,37305,FON,0.4354,0.5841,1284
KE,37307,AGRA,0,0,12
NG,37308,COOLLINK,0.0689,0.3286,2337
GM,37309,QCell,0.1665,0.0442,9399
GH,37313,GGoC1-AS,0.178,0.9091,1320
ZA,37314,Syrex-Pty-Ltd,0.0913,0.1538,208
ZA,37315,CipherWave,0.799,0.8177,587
ZA,37317,WSINET,0.9035,0.5789,114
AO,37318,BESA,0,0,21
GH,37320,NLA-AS,0.4314,0.5098,51
CG,37322,OFIS-BZ,0.8276,0.2261,261
GM,37323,NETPAGE,0.1785,0.9152,3030
GN,37325,INTERCEL,0,0,0
SO,37326,GICO,0.0269,0.0332,2413
NG,37328,WEMABANK,0,0.509,167
ZA,37333,COMTEL,0.0787,0.5246,305
ZA,37334,ARC,0,0,24
BI,37336,UCOM-WIC,0.043,0.3559,1582
GQ,37337,HITS-EG,0.051,0.1701,8
KE,37338,G4S-AS,0,0,40
NG,37340,Spectranet,0.0763,0.845,42000
GH,37341,GLOMOBILE,0.0179,0.7979,11566
MZ,37342,MOVITEL,0.1498,0.3415,17656
KE,37346,Davis-Shirtliff,0,0,11
NG,37347,NGCOM,0.145,0.9437,1262
EG,37348,CAC,0,0,14
TZ,37349,Aptus,0.0805,0.1286,1205
GH,37350,IS-GHANA,0.3734,0.7984,1141
NG,37350,IS-GHANA,0.0794,0.6667,63
ZA,37353,MacroLAN,0.3802,0.6172,384
ZA,37356,O-Tel,0.5263,0.4586,133
ZA,37357,SAINET,0.15,0.49,100
ZA,37358,BITCO,0.329,0.5996,1626
TZ,37362,TPA,0,0,14
ZA,37363,FAIRCAPE,0.9342,0.1184,76
TZ,37364,TCRA,0,0,1
AO,37366,BNA,0,0,47
ZA,37368,BLUEDUST,0,0,2
SO,37371,HORMUUD,0.6092,0.7721,139290
GH,37373,AUC-ASN,0.5686,0.2059,102
SS,37376,ZAIN-South-Sudan,0,0.0049,1225
NG,37377,Futurecom,0.4522,0.6943,314
NG,37378,NIGERIA-AIRFORCE,0,0,17
CI,37381,VIPNET,0.26,0.4276,1146
BW,37382,BOTSPOST,0,0,37
NE,37385,SONITEL,0.2029,0.3289,2311
ZA,37387,Platformity,0,0,13
GA,37390,iPi9,0.0527,0.8863,1460
GH,37392,SSNIT,0,0,4
BW,37395,ABARI,0.5801,0.8636,462
NG,37398,junisat,0.4263,0.6753,699
ZA,37403,INFOGRO,0.8703,0.8541,185
NG,37405,UNIV-NG-NSUKKA,0.0473,0.5522,402
SS,37406,RCS,0.6396,0.3604,369
NG,37407,LEVANT-,0,0,39
UG,37408,NWSC,0,0,38
ZA,3741,IS,0.1822,0.3867,11677
LR,37410,LONESTAR,0.9541,0.3569,11753
ZA,37413,HYMAX,0.4658,0.7078,219
CD,37414,Microcom-Sprl,0.2874,0.7816,87
CD,37415,AFRINET,0,0,25
ZA,37417,SONIC-Wireless,0.1037,0.2056,540
SL,37418,Guaranty-,0,0,28
TZ,37419,TRA,0.0096,0.6827,104
ZA,37422,FIRSTNET,0.2231,0.4231,130
TZ,37423,ADN,0.0395,0.0658,76
BJ,37424,Spacetel,0.502,0.6376,43328
SO,37425,Somcable,0.4155,0.7423,51922
NG,37426,Amcon,0,0,15
GN,37427,Cellcom,0.0056,0.0243,7027
BI,37429,Spidernet,0.1361,0.2515,485
GN,37430,vdctelecom,0.2067,0.6072,779
NG,37433,KKON-ABUJA,0,0,45
EG,37437,CICH,0,0,47
ZA,37438,Gijima,0,0,17
ZA,37439,Breedenet,0.0438,0.0909,616
MW,37440,Airtel-,0.0186,0.5188,6503
ZW,37442,ZARNET,0.1429,0.9077,336
NG,37443,Usmanu,0.7941,0.1838,136
EG,37444,SCCT,0,0,26
NG,37445,ETRANZACT,0.1406,0.3594,128
UG,37446,TULLOW-,0,0,1
CD,37447,OASIS-SPRL,0.0293,0.2714,4782
SL,37449,ONLIME-,0.8317,0.8813,1491
CG,37451,CongoTelecom,0.1064,0.2164,1382
NG,37452,CB-Nigeria,0.0079,0.0646,635
CD,37453,VODACOM-CONGO,0.0754,0.2831,5676
TZ,37454,BNH,0.9036,1,83
MU,37455,BHARAT-TEL,0.0575,0.3793,609
SL,37456,ATLAS-COMMS,0,0,5
ZA,37457,Telkom-Internet,0.9605,0.0917,51156
CF,37460,ORANGE-CA,0.0084,0.0252,833
GN,37461,ORANGE-,0.0026,0.0086,31312
CD,37463,MTN-CONGO,0.0164,0.6066,61
CG,37463,MTN-CONGO,0.317,0.9466,9401
NG,37466,RIVERS-STATE,0,0,32
AO,37468,ANGOLA-CABLES,0.1034,0.5862,58
NG,37472,NIGCOMSAT,0.2207,0.5631,222
DJ,37473,TELESOM,0.3247,0.7403,77
SO,37473,TELESOM,0.9268,0.7014,37174
CM,37475,HTT,0.1085,0.1194,2111
CI,37475,HTT,0.7987,0.2685,149
MZ,37477,Mozabanco,0,0,5
NG,37480,Cobranet,0.0802,0.5722,187
ZA,37482,BI,0,0,17
CD,37483,Congo-Chine,0.0415,0.5238,987
ZA,37484,Lasernet,0.4697,0.8788,66
GQ,37487,GUINEANET,0.8652,0.287,230
ZA,37488,ACSNET,0,0,5
MZ,37489,ABARICOMMOZ,0.4348,0.913,115
NG,37490,O-SAVINGS,0,0,75
ZA,37491,TRINET-ONLine,0,0,20
TN,37492,ORANGE-,0.0234,0.0593,186813
BI,37492,ORANGE-,0,0,24
GA,37493,wifly,0,0,5
TZ,37496,Aga-Khan,0,0,14
ZA,37497,Network-Platforms,0.2192,0.9041,73
KE,37499,UAP,0,0,30
CG,37500,Wifly-Congo,0,0,18
ZA,37501,UOFS,0.8095,0.0079,126
GM,37503,Unique-Solutions,0.0421,0.0601,499
NG,37506,Zinox,0.2075,0.5975,241
MR,37508,MATTEL,0.0105,0.1362,6500
ZA,37511,Enhanced-Internet,0,0,1
GQ,37512,IPX-Intl,0.4125,0.8838,783
NA,37513,Polytechnic-,0,0,701
KE,37514,Tullow-,0,0,8
ZA,37515,iCONNECT,0.462,0.5941,909
CV,37517,CV-Multimedia,0.0163,0.0532,20982
ZA,37519,Xtranet,0.4138,0.5345,58
ZA,37520,Rhodes-Univ,0.9884,0,345
NG,37521,Internet-Solutions-,0.2769,0.7352,1163
GM,37524,AFRICELL-,0.032,0.9994,14300
ZA,37525,BYTES-CON-1,0.0485,0.7379,103
BF,37526,Telecel-Faso,0.9544,0.9978,2697
ZA,37527,JIREH-Technologies,0,0,2
NG,37528,AISA,0,0,6
GQ,37529,GITGE,0.6909,0.8788,825
NE,37531,AIRTEL-NIGER,0.0173,0.4701,9095
ZM,37532,ZAMREN,0.0581,0.2355,1291
AO,37533,TSOLNET,0.0676,0.4882,340
GH,37534,GH-GTBank,0,0,16
BW,37537,Bytes-Botswana,0.0357,0.2143,56
NG,37540,WINROCK-,0.2528,0.4831,534
MR,37541,CHINGUITEL,0.871,0.9811,8406
ZA,37542,Iclix-CC,0.6867,0.4317,498
CM,37544,SOTEL-TCHAD,0,0,32
BI,37545,BBSS,0.7014,0.7725,211
ZA,37546,MIA-TELECOMs,0.4979,0.9004,241
RW,37547,ISPA-,0.1038,0.2902,703
CG,37548,ARPCE,0,0,0
ZA,37549,Triponza,0.7938,0.1959,97
CG,37550,airtelcg,0.0156,0.1264,7065
GM,37552,Gamtel,0.5639,0.9781,915
NG,37555,FBNC,0,0.1796,206
MZ,37556,CILIXSOFT-ASN,0,0,8
LY,37558,LITC,0.7332,0.858,3339
GW,37559,ORANGE-BISSAU,0.2204,0.2653,245
LR,37560,CYBERDYNE,0,0,0
EG,37562,DrexelEgypt,0,0,11
SO,37563,SOMTEL,0.7136,0.8531,60261
ZA,37564,wirulink,0.8187,0.7082,706
NG,37565,NSE-AS,0,0.4167,108
LY,37566,ICONA-AS,0.2659,0.2099,929
NG,37567,NIBSS,0,0.6207,87
ZW,37568,NUoS-ASN,0.194,0.014,500
ZM,37569,RokeZambiaASN,0.0968,0.2581,93
GH,37570,FIDELITY-AS,0,0,141
CD,37571,ITM-DRC,0,0,27
CV,37575,TMAIS,0.8675,0.9753,11762
TZ,37576,ZeeASN,0.0347,0.0118,1268
BF,37577,Orange-,0.0064,0.0175,14129
KE,37579,NMG-AS,0.0068,0.0068,147
LR,37580,ELECTROSHACK,0.1183,0.313,262
GA,37582,ANINF,0.427,0.5511,274
SS,37584,FastNetAS,0,0,38
BI,37586,ONATEL,0.5436,0.5638,149
NG,37587,UBNAS,0.0077,0.5144,1563
NG,37588,Stratus,0.2113,0.6804,194
AO,37590,BCA-ASN,0,0,10
NG,37591,HBNAS,0.0074,0.8545,811
TZ,37592,GapcoTZ-ASN,0,0,3
AO,37593,Infrasat,0,0,40
SS,37594,MTN,0.0205,0.1236,1416
ZA,37596,WIPRONET,0.2663,0.4887,706
ZA,37599,TERACO,0,0,9
AO,37603,GameZone-AS,0,0,24
BW,37604,Zebranet-AS,0.2911,0.9802,505
NG,37605,GTNL1-AS,0.2024,0.5385,494
MG,37608,iRENALA-AS,0.3333,0.0643,249
CD,37609,ROKETELKOM-AS,0,0,24
ZA,37611,Afrihost,0.1826,0.2563,13623
GN,37612,Areeba-Guinea-AS,0.0156,0.0659,7643
GH,37613,Dolphin-Telecom-AS,0.2289,0.3333,249
NG,37613,Dolphin-Telecom-AS,0.4533,0.6533,75
GA,37616,Airtel,0.085,0.9967,7244
ZA,37618,Telemedia-AS,0,0,22
CM,37620,VIETTEL-CM-AS,0.008,0.0154,12768
MU,37622,MTML-AS,0.887,0.9979,4337
GH,37623,SURFLINEGHANAAS,0.0243,0.6844,14251
ZA,37627,Equation-Business-AS,0,0,15
ZA,37628,KAB-Tech-AS,0,0,35
NG,37629,eStreamNetworks-AS,0.3393,0.7232,672
ZA,37630,EY-JHB-AS,0,0,5
ZA,37634,ITEC-COMMS,0.4026,0.5844,77
NG,37637,Smile-Nigeria-AS,0.0309,0.669,25969
CD,37638,Orioncom,0.4207,0.8708,271
ZA,37640,CAPE-CONNECT-AS,0.0842,0.9263,95
LS,37642,Comnet-Lesotho-AS,0.1235,0.5802,81
NG,37643,Ambion-AS,0.1004,0.7229,249
AO,37645,ZAP-Angola,0.0328,0.0561,8946
GH,37647,BlueCloud-AS,0.5205,0.7131,732
SN,37649,Tigo,0.8817,0.9494,8583
ZA,37650,CM-Value-AS,0,0,40
ZA,37652,37652,0.1356,0.2712,118
ZA,37653,Pink-Squirrel-AS,0.3684,0.7544,57
RW,37654,RwEdNet-AS,0.0278,0.1969,828
ZA,37658,Marion-Technology,0,0,6
NG,37660,Premierlotto-AS,0,0.3243,148
NG,37661,NRaE1-AS,0.204,0.4983,907
DJ,37662,WIOCC-AS,0,0,0
SO,37662,WIOCC-AS,0.9294,0.9948,3666
ZA,37662,WIOCC-AS,0,0,25
KE,37662,WIOCC-AS,0,0,10
YT,37662,WIOCC-AS,0.9443,0.9873,395
EG,37664,RayaCC,0,0,9
GN,37665,MouNa,0.1797,0.3817,807
GA,37669,IG-AS,0,0,33
ZA,37670,SMART-AS,0,0,44
TN,37671,GLOBALNET-AS,0.0738,0.3317,34878
CM,37672,Vodacom,0.3276,0.5086,116
NG,37672,Vodacom,0,0,26
ZA,37673,Telemasters,0.1379,0.3793,58
MU,37674,Millenium,0,0,18
ZA,37675,Sky-Connect-ASN,0.689,0.9207,164
CD,37677,SCPT,0.791,0.8955,67
BW,37678,BOFINET,0.3079,0.5101,1627
UG,37679,URA1,0.9057,1,53
ZA,37680,COOL-IDEAS,0.0853,0.1574,1969
NG,37682,TIZETI-AS,0.9425,0.9964,2521
UG,37683,CRDB1-AS,0,0,4
KE,37684,ANGANI-AS,0,0,30
NG,37686,ABUZ1-AS,0.0123,0.7119,486
NG,37688,BCNL1-AS,0.3091,0.4555,1236
GH,37690,BLUTELECOM-AS,0.9825,0.0643,342
ZA,37692,NetStack-AS,0.5991,0.6414,449
GH,37692,NetStack-AS,0,0,1
MU,37692,NetStack-AS,0,0,41
TN,37693,TUNISIANA,0.015,0.0445,280414
MZ,37697,webmasters,0.6974,0.7237,152
TN,37705,TOPNET,0.0406,0.2715,211674
MU,37705,TOPNET,0.0209,0.3164,335
MU,37708,AFRINIC-MAIN,0,0,17
TN,37709,Cloud-Temple,0,0,0
